SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,2018-19 5 year grad rate PROGRAM_TOTAL,2018-19 5 year grad rate PROGRAM_PERCENT,2018-19 5 year grad rate TOTAL_COUNT,2019-20 5 year grad rate PROGRAM_TOTAL,2019-20 5 year grad rate PROGRAM_PERCENT,2019-20 5 year grad rate TOTAL_COUNT,2020-21 5 year grad rate PROGRAM_TOTAL,2020-21 5 year grad rate PROGRAM_PERCENT,2020-21 5 year grad rate TOTAL_COUNT,2018-19 Attendance STUDENT_COUNT_ALL,2018-19 Attendance FIVE_OR_FEWER_PERCENT_ALL,2018-19 Attendance SIX_TO_FIFTEEN_PERCENT_ALL,2018-19 Attendance OVER_15_PERCENT_ALL,2018-19 Attendance CHRONIC_ABSENT_PERC_ALL,2019-20 Attendance STUDENT_COUNT_ALL,2019-20 Attendance FIVE_OR_FEWER_PERCENT_ALL,2019-20 Attendance SIX_TO_FIFTEEN_PERCENT_ALL,2019-20 Attendance OVER_15_PERCENT_ALL,2019-20 Attendance CHRONIC_ABSENT_PERC_ALL,2020-21 Attendance  STUDENT_COUNT_ALL,2020-21 Attendance FIVE_OR_FEWER_PERCENT_ALL,2020-21 Attendance SIX_TO_FIFTEEN_PERCENT_ALL,2020-21 Attendance OVER_15_PERCENT_ALL,2020-21 Attendance CHRONIC_ABSENT_PERC_ALL,2018-19 Completers PROGRAM_TOTAL,2019-20 Completers PROGRAM_TOTAL,2021-22 Completers PROGRAM_TOTAL,2018-19_Debt Services_x,2018-19_General Administration_x,2018-19_Instruction_x,2018-19_Instructional Support_x,2018-19_Maintenance and Operations_x,2018-19_Media_x,2018-19_Pupil Services_x,2018-19_Renovation and Capital Projects_x,2018-19_School Administration_x,2018-19_School food Services_x,2018-19_Transportation_x,2018-19_Debt Services_y,2018-19_General Administration_y,2018-19_Instruction_y,2018-19_Instructional Support_y,2018-19_Maintenance and Operations_y,2018-19_Media_y,2018-19_Pupil Services_y,2018-19_Renovation and Capital Projects_y,2018-19_School Administration_y,2018-19_School food Services_y,2018-19_Transportation_y,2019-20_Debt Services_x,2019-20_General Administration_x,2019-20_Instruction_x,2019-20_Instructional Support_x,2019-20_Maintenance and Operations_x,2019-20_Media_x,2019-20_Pupil Services_x,2019-20_Renovation and Capital Projects_x,2019-20_School Administration_x,2019-20_School food Services_x,2019-20_Transportation_x,2019-20_Debt Services_y,2019-20_General Administration_y,2019-20_Instruction_y,2019-20_Instructional Support_y,2019-20_Maintenance and Operations_y,2019-20_Media_y,2019-20_Pupil Services_y,2019-20_Renovation and Capital Projects_y,2019-20_School Administration_y,2019-20_School food Services_y,2019-20_Transportation_y,2020-21_Debt Services_x,2020-21_General Administration_x,2020-21_Instruction_x,2020-21_Instructional Support_x,2020-21_Maintenance and Operations_x,2020-21_Media_x,2020-21_Pupil Services_x,2020-21_Renovation and Capital Projects_x,2020-21_School Administration_x,2020-21_School food Services_x,2020-21_Transportation_x,2020-21_Debt Services_y,2020-21_General Administration_y,2020-21_Instruction_y,2020-21_Instructional Support_y,2020-21_Maintenance and Operations_y,2020-21_Media_y,2020-21_Pupil Services_y,2020-21_Renovation and Capital Projects_y,2020-21_School Administration_y,2020-21_School food Services_y,2020-21_Transportation_y,2018-19 SAT DSTRCT_AVG_SCORE_VAL,2019-20 SAT_DSTRCT_AVG_SCORE_VAL,2020-21 DSTRCT_AVG_SCORE_VAL
601,Appling County,221,90.57,244,205,93.18,220,218,87.9,248,3628,45.8,41.2,13,13.1,3533,57.4,34.4,8.2,8.4,3495,38.1,42.2,19.8,18.4,222,204,220,0,797586.15,22189806.06,1344802.03,2498397.45,594424.45,1059181.02,0,1764742.48,28151.15,2158920.67,0,232.26,6461.8,391.61,727.55,173.1,308.44,0,513.9,8.2,628.69,0,840706.12,23400454.37,1548058.98,2626114.12,728864.8,1106500.16,0,1940018.29,28718.91,2174104.39,0,245.96,6846.24,452.91,768.32,213.24,323.73,0,567.59,8.4,636.08,0,4202799.19,23208034.38,1646110.3,2431359.18,737085.53,1326004.4,0,1987609.25,29842.58,2134042.9,0,1258.32,6948.51,492.85,727.95,220.68,397.01,0,595.09,8.93,638.94,1002,1005,1019
602,Atkinson County,109,93.16,117,117,94.35,124,114,94.21,121,1727,58,33.9,8.1,8.9,1702,60.3,33.2,6.5,6.9,1664,52.3,36.1,11.7,12.4,106,117,90,0,611883.3,9684279.26,638906.58,1184630.04,378327.68,442824.64,0,1140505.26,15125.8,1037521.99,0,373.1,5905.05,389.58,722.34,230.69,270.02,0,695.43,9.22,632.64,0,709881.34,10170087.07,778278.06,1302918.74,400379.38,457838.43,0,1335656.86,17234.95,957559.83,0,427.12,6119.19,468.28,783.95,240.9,275.47,0,803.64,10.37,576.15,0,581971.3,8488517.41,571901.44,1029859.7,256652.04,386190.08,0,872317.4,30308.62,800901.75,0,360.35,5256.05,354.12,637.68,158.92,239.13,0,540.13,18.77,495.91,952,1004,
761,Atlanta Public Schools,2590,80.69,3210,2629,82.23,3197,2632,85.51,3078,58359,45.8,35.9,18.3,21,57060,52.9,33.9,13.2,15,52688,42.4,20,37.6,38.4,2489,2577,2695,964119.55,15846212.23,507539083.1,58560064.15,79578049.77,6468398.37,44371182.64,0,39534722.77,79019.17,33367351.83,18.76,308.27,9873.53,1139.21,1548.09,125.83,863.19,0,769.1,1.54,649.12,965257.66,16233088.07,536868463.9,53650002.03,86616672.64,5767413.71,44109047.83,0,40036251.78,74220.97,32820440.26,18.7,314.47,10400.4,1039.33,1677.97,111.73,854.5,0,775.6,1.44,635.81,964950.42,15951679.46,560781709.9,53665235.51,76479139.61,5191872.31,47003326.4,2000,39354508.15,129979.66,29607511.29,19.39,320.59,11270.41,1078.55,1537.05,104.34,944.66,0.04,790.93,2.61,595.04,964,969,1086
603,Bacon County,144,94.74,152,119,94.44,126,140,95.89,146,2220,44.7,42.1,13.2,14,2147,52.1,38,9.9,10.1,2107,28.4,39.9,31.7,29.3,148,117,141,0,805132.96,12961821.67,619653.42,1761648.86,366462.06,977493.88,0,1305433.52,7350.29,1162546.68,0,386.9,6228.65,297.77,846.54,176.1,469.72,0,627.31,3.53,558.65,0,841554.59,13714842.26,601891.66,1786445.47,376858.28,1093518.42,0,1368898.77,21022.32,1116274.72,0,410.31,6686.91,293.46,871.01,183.74,533.16,0,667.43,10.25,544.26,0,811983.37,12784415.46,575354.13,1912592.19,326920.96,1275712.86,0,1359759.02,37981.94,1227323.32,0,403.37,6350.93,285.82,950.12,162.4,633.74,0,675.49,18.87,609.7,1019,954,1019
604,Baker County,20,86.96,23,TFS,TFS,TFS,22,91.67,24,297,51.2,36.7,12.1,11.8,278,60.1,32.4,7.6,8.3,306,31.7,46.1,22.2,19.3,22,11,17,0,534938.14,2377298.26,238359.21,502601.57,157864.45,245848.72,0,189472.39,2405.97,341048.17,0,1959.48,8708.05,873.11,1841.03,578.26,900.54,0,694.04,8.81,1249.26,0,549634.79,2276205.35,214198.19,470072.01,30530.7,179877.46,0,229186.64,2391.33,372490.63,0,2198.54,9104.82,856.79,1880.29,122.12,719.51,0,916.75,9.57,1489.96,0,498210.34,2032313.15,191656.81,470471.81,38615.32,151163.63,0,236602.68,3272.36,356727.84,0,1805.11,7363.45,694.41,1704.61,139.91,547.69,0,857.26,11.86,1292.49,,,820
605,Baldwin County,274,91.33,300,250,87.72,285,209,86.01,243,5209,51.9,35.4,12.7,11.9,5031,57.8,32.9,9.3,8.7,5030,45.8,30,24.2,24.6,270,236,230,0,2003450.74,26444530.79,2437223.06,3811943.39,762232.14,1514908.4,58028,3235063.69,57801.21,2831384.18,0,414.28,5468.27,503.97,788.24,157.62,313.26,12,668.95,11.95,585.48,0,1953720.13,29166488.9,2352203.77,3882935.86,899338.97,1627059.81,0,3245879.94,42663.04,2742632.36,0,411.83,6148.08,495.83,818.49,189.57,342.97,0,684.21,8.99,578.13,0,2082084.36,27762951.18,2232082.25,3435379.81,834522.46,1531569.74,0,3365231.42,45611.54,2234291.34,0,443.09,5908.27,475.01,731.09,177.6,325.94,0,716.16,9.71,475.48,915,904,990
606,Banks County,175,90.21,194,200,90.5,221,178,89.45,199,2935,35.8,45.9,18.3,16.5,2945,50.9,38.8,10.4,10.2,2888,37.2,40.8,22,22.2,172,204,167,0,786287.33,18856062.07,691439.33,2196165.61,525114.23,825822.56,52697.41,1498006.96,17789.28,1933763.41,0,282.63,6777.88,248.54,789.42,188.75,296.84,18.94,538.46,6.39,695.1,0,775853.6,20133062.06,1037536.87,2281201.88,538995.1,917888.57,0,1491511.59,19455.88,1842439.39,0,279.39,7249.93,373.62,821.46,194.09,330.53,0,537.09,7.01,663.46,0,747958.05,18803965.99,1292015.46,1584790.08,424351.2,961979.56,0,1465313.3,26056.14,1928548.89,0,269.15,6766.45,464.92,570.27,152.7,346.16,0,527.28,9.38,693.97,1055,1043,1078
607,Barrow County,815,90.96,896,790,87.88,899,824,92.9,887,14551,48.1,39,12.9,12.9,14712,56.2,35.7,8.1,9.5,14780,24.6,36.1,39.4,39.4,818,800,863,0,3164732.66,82016826.81,5111618.03,9368100.54,2053915.8,4483742.86,0,7803591.85,57126.1,8175593.08,0,226.33,5865.47,365.56,669.96,146.89,320.66,0,558.08,4.09,584.68,0,3501975.17,86816712.14,6216892.46,10227529.63,2152729.29,5777699.07,0,8716015.57,58573.52,8201357.45,0,246.6,6113.42,437.78,720.2,151.59,406.85,0,613.76,4.12,577.52,0,3095718.21,87419773.81,6170209.92,7685544.73,2247795.53,6014504.22,0,8679108.37,71802.76,8750733.53,0,221.99,6268.9,442.47,551.13,161.19,431.3,0,622.38,5.15,627.52,983,1004,1053
608,Bartow County,881,91.11,967,805,92.64,869,881,94.73,930,14202,45,40.3,14.7,15.3,13930,52.3,37.9,9.9,10.4,13947,37,37.5,25.4,25.1,891,817,884,0,2035024.7,80815226.17,2469186.46,10147030.73,2015399.51,4452581.96,0,9269429.02,83334.49,7168339.12,0,154.38,6130.73,187.32,769.76,152.89,337.78,0,703.19,6.32,543.8,0,2383100.23,88887132.53,2587996.57,11033995.73,2134914.06,5338361.08,0,10089528.49,72964.73,7292174.55,0,181.13,6755.88,196.7,838.64,162.26,405.74,0,766.86,5.55,554.24,0,2200795.31,91563949.76,2671618.88,10256775.47,1979805.76,5658337.14,0,10117329.62,72127.8,4850604.59,0,168.51,7011.02,204.56,785.36,151.59,433.26,0,774.68,5.52,371.41,1035,1007,1051
609,Ben Hill County,193,87.33,221,179,85.65,209,183,85.12,215,3116,50.4,37.6,12,11.8,3092,54.7,37.1,8.2,9.3,3064,38,37.1,24.8,25.1,200,176,176,0,1208516.18,18574068.65,217130.33,2431346.1,424918.05,802573.02,0,2148585.29,21037.92,1624751.45,0,407.18,6258.11,73.16,819.19,143.17,270.41,0,723.92,7.09,547.42,0,1605401.92,19830438.23,860206.63,2415008.84,309900.66,882894.18,0,2257932.3,20651.66,1610892.85,0,553.21,6833.37,296.42,832.19,106.79,304.24,0,778.06,7.12,555.1,0,1745203.84,14682009.36,277455.29,2050231.04,289670.56,887617.6,0,2219190.09,30419.69,980565.24,0,608.3,5117.47,96.71,714.62,100.97,309.38,0,773.51,10.6,341.78,937,928,955
